title,company,location,salary,tags,posted_date,source,link,scraped_at,confidence_score,credibility_score
E-Commerce Developer,Logitech,"TN, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=92db3d76f6c0907d,2026-09-26T00:23:16Z,88,88
Software Engineer II- Tax Transformation Office - Hyderabad & Gurugram,Deloitte,"Hyderabad, Telangana, India",Not specified,"fulltime, not applicable, Engineering and Information Technology, Business Consulting and Services",2026-09-23,linkedin,https://www.linkedin.com/jobs/view/4452434117,2026-09-26T00:23:16Z,87,87
Java - Senior Engineer,Iris Software,"UP, IN",Not specified,Not specified,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=4d8f49e8f453b83b,2026-09-26T00:23:16Z,85,85
"Software Development Engineer, Tax Engine Services",Amazon,"Bengaluru, Karnataka, India",Not specified,"fulltime, mid-senior level, Information Technology, Consulting, and Engineering, Software Development",2026-09-23,linkedin,https://www.linkedin.com/jobs/view/4470997141,2026-09-26T00:23:16Z,77,77
Java - Senior Engineer,Iris Software,"UP, IN",Not specified,Not specified,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=6d7661c1f2f73630,2026-09-26T00:23:16Z,65,65
"Software Development Engineer II, Alexa Multimodal Initiatives, Alexa Devices",Amazon,Not specified,Not specified,"fulltime, mid-senior level, Information Technology, Consulting, and Engineering, Software Development",2026-09-22,linkedin,https://www.linkedin.com/jobs/view/4461727278,2026-09-26T00:23:16Z,55,55
Junior Frontend Developer,Codilar Technologies,"KL, IN",Not specified,Not specified,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=c939afac38346982,2026-09-26T00:23:16Z,74,74
"Software Engineer II - Java, Kafka, AWS",JPMorganChase,"Hyderabad, Telangana, India",Not specified,"fulltime, not applicable, Engineering and Information Technology, Financial Services",2026-09-22,linkedin,https://www.linkedin.com/jobs/view/4470629049,2026-09-26T00:23:16Z,69,69
Python Developer.,Codilar Technologies,"KL, IN",Not specified,Not specified,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=c5ca3a143a6079d4,2026-09-26T00:23:16Z,61,61
Senior Software Engineer II,Optum India,"Noida, Uttar Pradesh, India",Not specified,"fulltime, mid-senior level, Engineering and Information Technology, IT Services and IT Consulting",2026-09-22,linkedin,https://www.linkedin.com/jobs/view/4470616973,2026-09-26T00:23:16Z,82,82
Python Developer(2years),Codilar Technologies,"KL, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=e0b5540d743b4d3d,2026-09-26T00:23:16Z,84,84
"Software Development Engineer, Prime Video Live Events - Sports Data Platform",Prime Video & Amazon MGM Studios,"Bengaluru, Karnataka, India",Not specified,"fulltime, mid-senior level, Information Technology, Consulting, and Engineering, Entertainment Providers",2026-09-22,linkedin,https://www.linkedin.com/jobs/view/4470488480,2026-09-26T00:23:16Z,90,90
Senior Developer(Python/Node),Codilar Technologies,"KL, IN",Not specified,Not specified,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=01395638d039227e,2026-09-26T00:23:16Z,71,71
Software Engineer,GE HealthCare,"Bengaluru, Karnataka, India",Not specified,"fulltime, entry level, Engineering and Information Technology, Hospitals and Health Care",2026-09-22,linkedin,https://www.linkedin.com/jobs/view/4470446091,2026-09-26T00:23:16Z,87,87
Senior DevOps Engineer,Cornerstone OnDemand,"TS, IN",Not specified,Not specified,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=2a56c02f2a6e1920,2026-09-26T00:23:16Z,58,58
Microservices JAVA with Node JS-Software Engineer II,Deloitte,"Hyderabad, Telangana, India",Not specified,"fulltime, not applicable, Engineering and Information Technology, Business Consulting and Services",2026-09-22,linkedin,https://www.linkedin.com/jobs/view/4424684219,2026-09-26T00:23:16Z,76,76
Senior Software Engineer,Ford Motor Company,"TN, IN",Not specified,Not specified,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=03c57eea96f3b3d0,2026-09-26T00:23:16Z,81,81
